VOLTAGE [mV],CURRENT [mA]
-555.546875,-2.13671875
-552.8759765625,-2.13671875
-416.66015625,-3.7392578125
208.330078125,9.615234375
614.306640625,2186.3974609375
699.775390625,-0.0
1057.67578125,22.435546875
1335.44921875,353.626953125
1324.765625,342.4091796875
1324.765625,335.9990234375
1319.423828125,333.8623046875
1335.44921875,330.6572265625
1319.423828125,323.1787109375
1314.08203125,319.9736328125
