VOLTAGE [mV],CURRENT [mA]
-518.154296875,-2.13671875
-520.8251953125,-2.13671875
-291.1279296875,-2.13671875
-10921.3037109375,-4.2734375
590.2685546875,7.478515625
745.1806640625,-0.5341796875
1100.41015625,30.982421875
1370.1708984375,422.001953125
1359.4873046875,402.2373046875
1354.1455078125,388.3486328125
1346.1328125,383.0068359375
1335.44921875,370.720703125
1340.791015625,359.5029296875
1340.791015625,352.55859375
