VOLTAGE [mV],CURRENT [mA]
-416.66015625,-5.341796875
-411.318359375,-5.341796875
-379.267578125,-5.341796875
-8.0126953125,-1.068359375
336.533203125,2.13671875
699.775390625,6.41015625
1063.017578125,9.615234375
